ID,Short,Type,Category,Subcategory,Priority,Indicator,Description,Assessment details,Assessment,Comment
CA-RDA-I3-03MM,I3-03MM,Model metadata,Interoperable,I3,Important,Metadata of model includes qualified references to other metadata,"This indicator is about the way the model metadata is connected to other metadata, for example to descriptions of related resources that provide additional context to the model. The references need to be qualified which means that the relationship of the related resource is specified, for example person Y is the author of dataset X.",The indicator can be evaluated by looking at the presence of ref erences with specification of the relationship that the related resource has to the described resource.,,
CA-RDA-I3-04MA,I3-04MA,Archive metadata,Interoperable,I3,Useful,Metadata of archive include qualified references to other data,"This indicator is about the way the archive metadata is connected to other data. The references need to be qualified which means that the relationship role of the related resource is specified, for example dataset X is derived from dataset Y.",The indicator can be evaluated by looking at the presence of ref erences with specification of the relationship role that the related resource has with the described resource,0.0,
CA-RDA-I3-04MM,I3-04MM,Model metadata,Interoperable,I3,Useful,Metadata of model include qualified references to other data,"This indicator is about the way the model metadata is connected to other data. The references need to be qualified which means that the relationship role of the related resource is specified, for example dataset X is derived from dataset Y.",The indicator can be evaluated by looking at the presence of ref erences with specification of the relationship role that the related resource has with the described resource,,
CA-RDA-R1-01MA,R1-01MA,Archive metadata,Reusable,R1,Essential,Plurality of accurate and relevant attributes of archive are provided to allow reuse,The indicator concerns the quantity but also the quality of the archive metadata provided in order to enhance archive reusability,This indicator can be evaluated with the help of standards registries such as the RDA-endorsed FAIRsharing (see f or example: https://fairsharing.org/standards/?q=/format&selected_facets=type_exact:reporting%20guideline),0.0,
CA-RDA-R1-01MM,R1-01MM,Model metadata,Reusable,R1,Essential,Plurality of accurate and relevant attributes of model are provided to allow reuse,The indicator concerns the quantity but also the quality of the model metadata provided in order to enhance model reusability,This indicator can be evaluated with the help of standards registries such as the RDA-endorsed FAIRsharing (see f or example: https://fairsharing.org/standards/?q=/format&selected_facets=type_exact:reporting%20guideline),,
CA-RDA-R1.1-01MA,R1.1-01MA,Archive metadata,Reusable,R1.1,Essential,Metadata of archive includes information about the licence under which the archive can be reused,"This indicator is about the information that is provided in the archive metadata related to the conditions (e.g. obligations, restrictions) under which the archive can be reused. In the absence of licence information, the archive cannot be reused.",This indicator can be evaluated by looking in the metadata f or licence inf ormation. This inf ormation may be in human-readable text; machine-understandability of the information is covered in indicator RDA-R1.1-03M.,0.0,
CA-RDA-R1.1-01MM,R1.1-01MM,Model metadata,Reusable,R1.1,Essential,Metadata of model includes information about the licence under which the model can be reused,"This indicator is about the information that is provided in the model metadata related to the conditions (e.g. obligations, restrictions) under which the model can be reused. In the absence of licence information, the model cannot be reused.",This indicator can be evaluated by looking in the metadata f or licence inf ormation. This inf ormation may be in human-readable text; machine-understandability of the information is covered in indicator RDA-R1.1-03M.,,
CA-RDA-R1.1-02MA,R1.1-02MA,Archive metadata,Reusable,R1.1,Important,Metadata of archive refers to a standard reuse licence,"This indicator requires the reference to the conditions of reuse to be a standard licence, rather than a locally defined licence.","The indicator can be evaluated by verifying that the licence is indeed a standard licence. Examples ofstandard licences are: Creative Commons licences, Open Data Commons.",0.0,
CA-RDA-R1.1-02MM,R1.1-02MM,Model metadata,Reusable,R1.1,Important,Metadata of model refers to a standard reuse licence,"This indicator requires the reference to the conditions of reuse to be a standard licence, rather than a locally defined licence.","The indicator can be evaluated by verifying that the licence is indeed a standard licence. Examples ofstandard licences are: Creative Commons licences, Open Data Commons.",,
CA-RDA-R1.1-03MA,R1.1-03MA,Archive metadata,Reusable,R1.1,Important,Metadata of archive refers to a machine-understandable reuse licence,"This indicator is about the way that the reuse licence is expressed. Rather than being a human-readable text, the licence should be expressed in such a way that it can be processed by machines, without human intervention, for example in automated searches.","The indicator can be evaluated by verifying that the link to the licence resolves to a machine-understandable expression of the conditions. An example of such a machine-understandable expression is the RDF expression of Creative Commons licences, or the various serialisations of the Open Data Rights Language (ODRL).",0.0,
CA-RDA-R1.1-03MM,R1.1-03MM,Model metadata,Reusable,R1.1,Important,Metadata of model refers to a machine-understandable reuse licence,"This indicator is about the way that the reuse licence is expressed. Rather than being a human-readable text, the licence should be expressed in such a way that it can be processed by machines, without human intervention, for example in automated searches.","The indicator can be evaluated by verifying that the link to the licence resolves to a machine-understandable expression of the conditions. An example of such a machine-understandable expression is the RDF expression of Creative Commons licences, or the various serialisations of the Open Data Rights Language (ODRL).",,
CA-RDA-R1.2-01MA,R1.2-01MA,Archive metadata,Reusable,R1.2,Essential,Metadata of archive includes provenance information according to community-specific standards,"This indicator requires the archive metadata to include information about the provenance of the archive, i.e. information about the origin, history or workflow that generated the archive, in a way that is compliant with the standards that are used in the community for which the archive is developed",The indicator can be evaluated by verifying that the provenance informationf ollows the community standard. A RDA-endorsed service like FAIRsharingcould be helpful to identify the relevant standards.,0.0,
CA-RDA-R1.2-01MM,R1.2-01MM,Model metadata,Reusable,R1.2,Essential,Metadata of model includes provenance information according to community-specific standards,"This indicator requires the model metadata to include information about the provenance of the model, i.e. information about the origin, history or workflow that generated the model, in a way that is compliant with the standards that are used in the community for which the model is developed",The indicator can be evaluated by verifying that the provenance informationf ollows the community standard. A RDA-endorsed service like FAIRsharingcould be helpful to identify the relevant standards.,,
CA-RDA-R1.2-02MA,R1.2-02MA,Archive metadata,Reusable,R1.2,Useful,Metadata of archive includes provenance information according to a cross-community language,This indicator requires that the archive metadata provides provenance information according to a cross-domain language.,The indicator can be evaluated by assessing whether a cross-domain language is used f or provenance information (such as PROV-O),0.0,
CA-RDA-R1.2-02MM,R1.2-02MM,Model metadata,Reusable,R1.2,Useful,Metadata of model includes provenance information according to a cross-community language,This indicator requires that the model metadata provides provenance information according to a cross-domain language.,The indicator can be evaluated by assessing whether a cross-domain language is used f or provenance information (such as PROV-O),,
CA-RDA-R1.3-01A,R1.3-01A,Archive,Reusable,R1.3,Essential,Archive complies with a community standard,This indicator requires that the archive complies with community standards.,The indicator can be evaluated by verifying that the data f ollows a community standard. A service like the RDA-endorsed FAIRsharingcould be helpful to identify the relevant standards.,0.0,
CA-RDA-R1.3-01M,R1.3-01M,Model,Reusable,R1.3,Essential,Model complies with a community standard,This indicator requires that the model complies with community standards.,The indicator can be evaluated by verifying that the data f ollows a community standard. A service like the RDA-endorsed FAIRsharingcould be helpful to identify the relevant standards.,,
CA-RDA-R1.3-01MA,R1.3-01MA,Archive metadata,Reusable,R1.3,Essential,Metadata of archive complies with a community standard,This indicator requires that the archive metadata complies with community standards.,The indicator can be evaluated by verif ying that the metadata f ollows a community standard. A service like the RDA-endorsed FAIRsharing or the Metadata Standards Catalogcould be helpful to identify the relevant standards,0.0,
CA-RDA-R1.3-01MM,R1.3-01MM,Model metadata,Reusable,R1.3,Essential,Metadata of model complies with a community standard,This indicator requires that the model metadata complies with community standards.,The indicator can be evaluated by verif ying that the metadata f ollows a community standard. A service like the RDA-endorsed FAIRsharing or the Metadata Standards Catalogcould be helpful to identify the relevant standards,,
CA-RDA-R1.3-02A,R1.3-02A,Archive,Reusable,R1.3,Essential,Archive is expressed in compliance with a machine-understandable community standard,This indicator requires that the archive follows a community standard that has a machine-understandable expression,This indicator can be evaluated by verifying that the community standard used f or the data has a machine-understandable expression.,0.0,
CA-RDA-R1.3-02M,R1.3-02M,Model,Reusable,R1.3,Essential,Model is expressed in compliance with a machine-understandable community standard,This indicator requires that the model follows a community standard that has a machine-understandable expression,This indicator can be evaluated by verifying that the community standard used f or the data has a machine-understandable expression.,,
CA-RDA-R1.3-02MA,R1.3-02MA,Archive metadata,Reusable,R1.3,Essential,Metadata of archive is expressed in compliance with a machine-understandable community standard,This indicator requires that the archive metadata follows a community standard that has a machine-understandable expression,This indicator can be evaluated by verifying that the community standard used f or the metadata has a machine-understandable expression,0.0,
CA-RDA-R1.3-02MM,R1.3-02MM,Model metadata,Reusable,R1.3,Essential,Metadata of model is expressed in compliance with a machine-understandable community standard,This indicator requires that the model metadata follows a community standard that has a machine-understandable expression,This indicator can be evaluated by verifying that the community standard used f or the metadata has a machine-understandable expression,,
CA-RDA-R1.3-03MA,R1.3-03MA,Archive metadata,Reusable,R1.3,Important,Metadata of archive is expressed in compliance with a machine-understandable cross-community standard,This indicator requires that the archive metadata follows a standard that has a machine-understandable expression and is independent of a specific community,,0.0,
CA-RDA-R1.3-03MM,R1.3-03MM,Model metadata,Reusable,R1.3,Important,Metadata of model is expressed in compliance with a machine-understandable cross-community standard,This indicator requires that the model metadata follows a standard that has a machine-understandable expression and is independent of a specific community,,,
